Distance(m),Time(s),Temp(C)
0.039445,0.00023,23.76739
0.0330995,0.000193,23.76739
0.062426,0.000364,23.76739
0.1027285,0.000599,23.76739
0.170471,0.000994,23.76739
0.2058,0.0012,23.76739
0.283318,0.001652,23.76739
0.300125,0.00175,23.76739
0.3417995,0.001993,23.76739
0.4158875,0.002425,23.76739
0.4498445,0.002623,23.76739
0.478142,0.002788,23.76739
0.535423,0.003122,23.76739
0.5788125,0.003375,23.76739
0.6340355,0.003697,23.76739
0.7105245,0.004143,23.76739
0.799876,0.004664001,23.76739
0.8386351,0.00489,23.29925
0.905177,0.005278,23.76739
0.955598,0.005572,23.76739
1.033802,0.006028,23.76739
1.08165,0.006307,23.76739
1.163456,0.006784,23.76739
1.188152,0.006928,23.76739
1.250063,0.007289,23.76739
1.283334,0.007483,23.76739
1.309574,0.007636,23.76739
1.35485,0.0079,23.76739
1.409387,0.008217999,23.76739
1.433225,0.008356999,23.76739
1.433911,0.008361,23.76739
1.520176,0.008864,23.76739
1.562879,0.009112999,23.76739
1.559278,0.009092,23.76739
